,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
58,4515,AMERICAN AIRLINES INC,200911,11/06/2009,10-Q/A,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000041.txt
59,4515,AMERICAN AIRLINES INC,201002,02/17/2010,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000006.txt
60,4515,AMERICAN AIRLINES INC,201004,04/21/2010,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000016.txt
61,4515,AMERICAN AIRLINES INC,201007,07/21/2010,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-066865.txt
62,4515,AMERICAN AIRLINES INC,201010,10/20/2010,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-094615.txt
63,4962,AMERICAN EXPRESS CO,201404,04/29/2014,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-167067.txt
64,4962,AMERICAN EXPRESS CO,201407,07/30/2014,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-286961.txt
65,5588,AMERICAN PAD & PAPER CO,199611,11/06/1996,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000930661-96-001510.txt
66,5588,AMERICAN PAD & PAPER CO,199703,03/31/1997,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-002428.txt
67,5588,AMERICAN PAD & PAPER CO,199705,05/15/1997,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-003934.txt
68,5588,AMERICAN PAD & PAPER CO,199708,08/14/1997,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-006223.txt
69,5588,AMERICAN PAD & PAPER CO,199711,11/14/1997,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-008577.txt
70,5588,AMERICAN PAD & PAPER CO,199803,03/27/1998,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-002477.txt
71,5588,AMERICAN PAD & PAPER CO,199805,05/14/1998,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-004241.txt
72,5588,AMERICAN PAD & PAPER CO,199808,08/14/1998,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-006988.txt
73,5588,AMERICAN PAD & PAPER CO,199811,11/13/1998,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000008.txt
74,5588,AMERICAN PAD & PAPER CO,199811,11/16/1998,10-Q/A,https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000010.txt
75,5907,AT&T CORP,199908,08/13/1999,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000027.txt
76,5907,AT&T CORP,199911,11/15/1999,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000037.txt
77,5907,AT&T CORP,200003,03/27/2000,10-K,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000014.txt
78,5907,AT&T CORP,200005,05/15/2000,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000025.txt
79,5907,AT&T CORP,200008,08/14/2000,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000031.txt
80,5907,AT&T CORP,200011,11/14/2000,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000038.txt
81,5907,AT&T CORP,200101,01/26/2001,10-K/A,https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000002.txt
82,5907,AT&T CORP,200104,04/02/2001,10-K405,https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000012.txt
83,5907,AT&T CORP,200104,04/17/2001,10-K405/A,https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000015.txt
84,5907,AT&T CORP,200105,05/15/2001,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-502538.txt
85,5907,AT&T CORP,200107,07/03/2001,10-Q/A,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-504075.txt
86,5907,AT&T CORP,200108,08/10/2001,10-Q/A,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-505366.txt
87,5907,AT&T CORP,200108,08/14/2001,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-505598.txt
88,6071,AMES DEPARTMENT STORES INC,199809,09/02/1998,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-98-000023.txt
89,6071,AMES DEPARTMENT STORES INC,199812,12/10/1998,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-98-000026.txt
90,6071,AMES DEPARTMENT STORES INC,199904,04/05/1999,10-K,https://www.sec.gov/Archives/edgar/data/6071/0000889812-99-001116.txt
91,6071,AMES DEPARTMENT STORES INC,199906,06/15/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000013.txt
92,6071,AMES DEPARTMENT STORES INC,199909,09/14/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000015.txt
93,6071,AMES DEPARTMENT STORES INC,199912,12/14/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000017.txt
94,6071,AMES DEPARTMENT STORES INC,200004,04/11/2000,10-K,https://www.sec.gov/Archives/edgar/data/6071/0000006071-00-000002.txt
95,6071,AMES DEPARTMENT STORES INC,200006,06/13/2000,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-00-000011.txt
96,6201,AMR CORP,199908,08/16/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-99-000023.txt
97,6201,AMR CORP,199911,11/05/1999,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-99-000028.txt
98,6201,AMR CORP,200003,03/27/2000,10-K405,https://www.sec.gov/Archives/edgar/data/6201/0000950134-00-002454.txt
99,6201,AMR CORP,200005,05/11/2000,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-00-000009.txt
100,6201,AMR CORP,200007,07/28/2000,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000950134-00-006067.txt
101,6201,AMR CORP,200010,10/26/2000,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-00-000017.txt
102,6201,AMR CORP,200103,03/22/2001,10-K405,https://www.sec.gov/Archives/edgar/data/6201/0000950134-01-002483.txt
103,6201,AMR CORP,200104,04/24/2001,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000950134-01-500665.txt
104,6201,AMR CORP,200108,08/13/2001,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-01-500032.txt
105,6201,AMR CORP,200110,10/25/2001,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-01-500047.txt
106,6201,AMR CORP,200202,02/28/2002,10-K405,https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-001661.txt
107,6201,AMR CORP,200204,04/18/2002,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000015.txt
108,6201,AMR CORP,200207,07/19/2002,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000035.txt
109,6201,AMR CORP,200210,10/18/2002,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000052.txt
110,6201,AMR CORP,200210,10/18/2002,10-Q/A,https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-012680.txt
111,6201,AMR CORP,200210,10/18/2002,10-Q/A,https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-012682.txt
112,6201,AMR CORP,200304,04/01/2003,NT 10-K,https://www.sec.gov/Archives/edgar/data/6201/0000006201-03-000012.txt
113,6201,AMR CORP,200304,04/15/2003,10-K,https://www.sec.gov/Archives/edgar/data/6201/0001047469-03-013301.txt
